id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7701082,Berlin style flat in Schoeneberg,35059813,Etienne,Tempelhof - Schöneberg,Schöneberg-Nord,52.493505152877084,13.350986779100872,Entire home/apt,65,1,0,,,1,0
782938,Old building flair in Schöneberg,4128655,Olaf,Tempelhof - Schöneberg,Schöneberg-Nord,52.49355901022628,13.353583992567302,Entire home/apt,79,3,3,2015-09-03,0.09,1,0
2880063,Private Room betw. Potsdamer Platz and Zoopalast,130019,Thomas,Tempelhof - Schöneberg,Schöneberg-Nord,52.49587902759116,13.352709751508117,Private room,25,5,53,2017-04-07,1.53,1,273
9169927,Artists-&Family-Space/Grandpiano,13045767,Hilde,Tempelhof - Schöneberg,Schöneberg-Nord,52.49454794153774,13.350524026516563,Entire home/apt,77,3,14,2017-01-02,0.90,1,355
11266945,"Room in the center, close to Kreuzberg, Schöneberg",31542672,Yanara,Tempelhof - Schöneberg,Schöneberg-Nord,52.49903476715985,13.361193843413293,Private room,35,5,1,2016-03-11,0.08,1,0
11004682,Schlaflos in Schöneberg?,56496920,Gerlinde,Tempelhof - Schöneberg,Schöneberg-Nord,52.49631727254212,13.340588764739199,Private room,40,2,17,2017-03-13,1.23,2,47
17887066,Zentrales ruhiges Zimmer in  2-Zimmer-Wohnung,100911665,Elena,Tempelhof - Schöneberg,Schöneberg-Nord,52.48864012721284,13.37241187629588,Private room,40,3,0,,,1,18
2027335,Beautiful spacious room in gallery appartment,6086870,Anja,Tempelhof - Schöneberg,Schöneberg-Nord,52.502357608960025,13.345316639643366,Private room,45,2,40,2017-01-09,1.08,2,55
9629469,Schönes Zimmer in 2er-WG,4628697,Lucie,Tempelhof - Schöneberg,Schöneberg-Nord,52.49751275132744,13.35017638162312,Private room,33,1,0,,,2,0
15331089,Futondreams from 9-9,982535,Dieter,Tempelhof - Schöneberg,Schöneberg-Nord,52.5005185597886,13.342732091326916,Shared room,18,1,9,2016-12-07,1.53,2,92
6942459,Beautiful flat in central Berlin,8601560,Alina,Tempelhof - Schöneberg,Schöneberg-Nord,52.49635959390101,13.358018178290026,Entire home/apt,40,7,0,,,1,0
13887432,Sunny Side of Berlin,82232269,David,Tempelhof - Schöneberg,Schöneberg-Nord,52.49227979850343,13.368262977992266,Private room,30,1,1,2016-07-27,0.12,1,0
16639845,Sunny bright room in Schöneberg,4003960,Ada,Tempelhof - Schöneberg,Schöneberg-Nord,52.497624161383946,13.354674451955283,Private room,29,2,3,2017-04-01,1.61,1,4
5236236,"Berliner Zimmer, konferenzraum.",843520,Chun Mei,Tempelhof - Schöneberg,Schöneberg-Nord,52.49388234184487,13.351818959841104,Shared room,180,1,1,2016-09-11,0.14,1,365
11789296,Central TopFloor Sunny Quiet Room E,62784659,Alex,Tempelhof - Schöneberg,Schöneberg-Nord,52.49693252624476,13.360787699137019,Private room,29,1,48,2017-02-23,3.95,2,315
16721234,Bright and cosy apartement with panorama view,1780183,Julian,Tempelhof - Schöneberg,Schöneberg-Nord,52.49867030545787,13.3563285722931,Entire home/apt,50,2,4,2017-03-22,2.18,1,48
17489710,Bright room in the center of Berlin Schöneberg,17142735,Franny&Miro,Tempelhof - Schöneberg,Schöneberg-Nord,52.4966300601164,13.363227173689687,Entire home/apt,40,2,2,2017-03-13,1.54,1,6
1564278,"Spacious, central with winter garden",8319062,Sven,Tempelhof - Schöneberg,Schöneberg-Nord,52.497849697304396,13.347117598793455,Private room,45,2,30,2017-03-11,0.87,2,278
8837895,Small 2- room appartment Schöneberg,46285756,Anna,Tempelhof - Schöneberg,Schöneberg-Nord,52.48983201610316,13.349824556583581,Entire home/apt,50,2,1,2015-11-25,0.06,1,0
1497716,L. Feuchtwanger Boutique Apartment,4423387,Elmar,Tempelhof - Schöneberg,Schöneberg-Nord,52.493213191920304,13.352900372032034,Entire home/apt,97,7,2,2013-12-01,0.05,3,215
186851,"CasaKaiser, 2 room apartment",898345,Susanne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49283185683647,13.348729563560164,Entire home/apt,31,62,48,2016-04-18,0.81,1,245
2683888,Schräge Wohnung beim Pop-Art-Maler,13738495,Utz,Tempelhof - Schöneberg,Schöneberg-Nord,52.48878719928014,13.369204061471612,Private room,45,4,0,,,1,365
5430339,bright/cosy apartment in Schöneberg,1770248,Stephan,Tempelhof - Schöneberg,Schöneberg-Nord,52.488405268845696,13.370647149679948,Entire home/apt,39,1,15,2017-03-13,0.67,1,102
1563562,Room with big terrace & private bath,8319062,Sven,Tempelhof - Schöneberg,Schöneberg-Nord,52.499586830677025,13.34589882667451,Private room,45,2,70,2017-03-30,1.99,2,240
3134876,Schmucker Altbau in Traumlage,10672821,Thomas,Tempelhof - Schöneberg,Schöneberg-Nord,52.49230984243369,13.356758449181763,Entire home/apt,89,2,10,2016-12-30,0.30,1,0
12047754,Gemütliche Wohnung im Westzentrum,64512295,Niek,Tempelhof - Schöneberg,Schöneberg-Nord,52.49362966571539,13.356133224378338,Entire home/apt,100,3,7,2017-03-13,0.73,1,298
16309550,Cosy and centric two room appartment in Berlin,38909019,Gergana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49752353865651,13.366196167325775,Entire home/apt,51,3,4,2017-04-03,2.50,1,0
6282613,charming central top floor apt V,30893953,Alex,Tempelhof - Schöneberg,Schöneberg-Nord,52.4975592073052,13.361377074636135,Entire home/apt,55,1,142,2017-04-07,6.09,4,292
13554198,Bright room in the middle of Berlin,1452057,Michael,Tempelhof - Schöneberg,Schöneberg-Nord,52.496875783689426,13.34956197163548,Private room,49,2,10,2017-03-28,1.06,1,147
14667993,Altbau im Herzen Schönebergs,18106840,Gunnar,Tempelhof - Schöneberg,Schöneberg-Nord,52.49548022907508,13.349796165497828,Entire home/apt,49,2,3,2016-10-16,0.42,1,11
10670265,Mezzanine in the heart of Berlin!,9022674,Chiara,Tempelhof - Schöneberg,Schöneberg-Nord,52.497598097762385,13.354051636995795,Private room,21,1,1,2017-04-03,1,2,312
250007,Exotic holiday apartment in Berlin ,1310272,Jörg,Tempelhof - Schöneberg,Schöneberg-Nord,52.494874698950795,13.35171087023955,Entire home/apt,69,2,52,2017-03-31,0.91,1,276
1103820,Apartment real Berlin Style,4773337,Sven,Tempelhof - Schöneberg,Schöneberg-Nord,52.49068204906844,13.34848710833717,Entire home/apt,99,5,0,,,1,124
8114785,"cozy, bright and spacious Apartment",37891340,Oni,Tempelhof - Schöneberg,Schöneberg-Nord,52.496928443797536,13.34655565478165,Private room,29,3,7,2016-09-24,0.36,1,0
10800942,furnished room for February,11009595,Torsten,Tempelhof - Schöneberg,Schöneberg-Nord,52.49347654391658,13.351787484519233,Private room,21,20,0,,,1,0
5099228,"Schöne, zentrale 2-Zimmerwohnung",26347897,Inken,Tempelhof - Schöneberg,Schöneberg-Nord,52.49203715822117,13.366887135160662,Private room,41,5,0,,,1,0
16699505,Cozy 2 room apartment in Schöneberg,31129103,Johanna,Tempelhof - Schöneberg,Schöneberg-Nord,52.490396719222375,13.355705572919154,Entire home/apt,37,5,3,2017-03-20,2.65,1,0
4771927,"55 m², 2-Bedroom Flat in Schöneberg",5177243,Daniel,Tempelhof - Schöneberg,Schöneberg-Nord,52.49467240872668,13.362267833402981,Entire home/apt,50,6,8,2016-10-23,0.29,1,97
12701032,Schönes Zimmer in Schöneberg,4628697,Lucie,Tempelhof - Schöneberg,Schöneberg-Nord,52.49882895166719,13.349517358788662,Private room,25,1,0,,,2,0
10799458,"Near Potsdamer Platz, Gleisdreieck",2718365,Michael,Tempelhof - Schöneberg,Schöneberg-Nord,52.49327798583649,13.363414990775643,Private room,50,1,0,,,1,0
14010515,Great central place,12138198,Lion,Tempelhof - Schöneberg,Schöneberg-Nord,52.50086973874516,13.35014580856152,Entire home/apt,85,1,0,,,1,0
14272615,wunderschönes Altbauzimmer,87024537,Charlotte,Tempelhof - Schöneberg,Schöneberg-Nord,52.49700919529901,13.350203681614113,Private room,30,4,3,2017-03-25,0.95,1,2
1099815,Comfort.3-Rooms-City-Apt. at KaDeWe,2752021,Holger,Tempelhof - Schöneberg,Schöneberg-Nord,52.50037680922049,13.338789563108236,Entire home/apt,109,2,89,2016-10-17,1.99,1,56
12765254,"Sunn,Private Room with Balcony",9646563,Harel,Tempelhof - Schöneberg,Schöneberg-Nord,52.49552094935984,13.366537647042348,Private room,35,2,1,2016-11-07,0.20,1,358
9291466,Eleanor's piano apartment,3263969,Eleanor,Tempelhof - Schöneberg,Schöneberg-Nord,52.49061490982693,13.363637879775883,Entire home/apt,102,2,50,2017-04-01,3.21,1,66
6015920,Berlin Schöneberg Mitten im Kiez,6880465,Joe,Tempelhof - Schöneberg,Schöneberg-Nord,52.499891392248394,13.357061381766918,Entire home/apt,75,3,2,2016-10-17,0.29,1,363
1350323,Comfy Rm w Wifi in Central Location,593103,Sylz,Tempelhof - Schöneberg,Schöneberg-Nord,52.497881493793514,13.352901222823371,Private room,35,2,88,2017-03-14,1.98,2,83
16283413,Giant Bed in Schöneberg,86973082,Umberto,Tempelhof - Schöneberg,Schöneberg-Nord,52.492035403731094,13.362155694596845,Private room,39,4,3,2017-03-18,0.73,1,355
6016000,Cosy room in Schöneberg,31227111,Ulrich,Tempelhof - Schöneberg,Schöneberg-Nord,52.499542406184695,13.347981735752274,Private room,70,1,7,2016-06-01,0.29,1,365
5764767,Charming sunny 27qm room in beautiful area,23901772,Melina & Ray,Tempelhof - Schöneberg,Schöneberg-Nord,52.48907440262848,13.365524477804136,Private room,39,2,33,2016-12-12,1.41,1,340
15122131,cozy room in Schöneberg,95840050,Amelie,Tempelhof - Schöneberg,Schöneberg-Nord,52.49639993284784,13.358159071119378,Private room,25,2,1,2016-10-28,0.18,1,49
6310519,Luxus wohnung  loft style,32827668,Michael,Tempelhof - Schöneberg,Schöneberg-Nord,52.49447486299528,13.355655502460131,Entire home/apt,80,1,0,,,1,0
310878,Unterkunft- nahe Potsdamer Platz - Berlin,1364211,Fred,Tempelhof - Schöneberg,Schöneberg-Nord,52.50025108850892,13.357932861576186,Entire home/apt,75,20,94,2016-05-04,1.54,1,191
1162720,Quiet and light room with a balcony,6368692,Verena,Tempelhof - Schöneberg,Schöneberg-Nord,52.499900441045114,13.35683131088725,Private room,75,1,11,2016-09-13,0.31,1,364
14663108,"Sichtweite vom KaDeWe, direkt City-West Berlin",3990224,Caroline,Tempelhof - Schöneberg,Schöneberg-Nord,52.50031047973603,13.341803573300668,Entire home/apt,74,60,9,2016-12-28,1.25,1,163
17810760,HOME AWAY FROM HOME!,113238281,Aviva,Tempelhof - Schöneberg,Schöneberg-Nord,52.5026303430486,13.347257495278415,Entire home/apt,65,1,0,,,3,335
17808808,"Großes Zimmer in Berlin Schöneberg,Nollendorfplatz",57790322,Luisa,Tempelhof - Schöneberg,Schöneberg-Nord,52.498199892231284,13.349376392187423,Private room,30,1,0,,,1,36
14073167,2-room appt. between Kreuzberg&Schöneberg,84542331,Gilad,Tempelhof - Schöneberg,Schöneberg-Nord,52.49081648703523,13.361618472986658,Entire home/apt,50,7,1,2016-08-24,0.13,1,0
6863979,Cozy room with big balcony in Berlin!!,35294550,Laura,Tempelhof - Schöneberg,Schöneberg-Nord,52.49284916440801,13.35211871525959,Private room,25,4,1,2015-07-05,0.05,3,0
17874727,Modisches Altbauzimmer am Viktoria-Luise-Platz,122373824,Stephan,Tempelhof - Schöneberg,Schöneberg-Nord,52.49549881743298,13.343034730945492,Private room,32,1,1,2017-04-02,1,1,65
244425,11th-Floor near KaDeWe!! -in Berlin,1282150,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.50040186218021,13.345326956497406,Entire home/apt,55,180,129,2016-11-01,1.97,4,160
14400776,Nice Apartment in the Berlin City Center,88520718,Arthur,Tempelhof - Schöneberg,Schöneberg-Nord,52.49629149127633,13.346202923941796,Entire home/apt,70,1,8,2017-03-13,1.04,1,84
1291979,"NOLLENDORFPLATZ, Schöneberg, Berlin",4656604,Dominik,Tempelhof - Schöneberg,Schöneberg-Nord,52.495808965176735,13.34685958349074,Private room,35,1,130,2016-09-27,2.85,1,324
