id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16876654,Charming city center apartment in Vienna,2359734,Celeste,,Margareten,48.187465674627845,16.35660387588929,Entire home/apt,85,2,6,2017-08-21,0.90,1,167
13455606,Jahrhundertwendehaus Wiedner Hauptstrasse,76882171,Katharina,,Margareten,48.18721769399776,16.36224330084255,Private room,36,1,14,2017-08-27,0.91,1,12
19009758,MAXI Vintage Apartment at Naschmarkt,24403804,Danny,,Margareten,48.195181098379685,16.357448887630287,Entire home/apt,180,1,5,2017-08-14,1.55,7,137
1027443,Sunny Apartment near City Center,5654805,Lidia,,Margareten,48.182532162735384,16.361935332676214,Entire home/apt,59,2,38,2017-06-30,0.71,1,335
840819,Top Location Top Apartment,4391156,Krzysztof,,Margareten,48.19528417813467,16.35990389807346,Entire home/apt,95,6,47,2016-09-22,0.82,1,0
16876979,"Big and cozy room in nice flat, very central",46478124,Juliane,,Margareten,48.18856391902324,16.34844481824122,Private room,15,3,0,,,1,0
12632924,Shared Flat in Central Vienna,30152331,Philipp,,Margareten,48.184894047054634,16.362136784326832,Private room,15,5,1,2016-08-11,0.07,2,0
8786966,Big stylish city flat with terrace,9798394,Faye,,Margareten,48.18351978958036,16.348638959639434,Entire home/apt,95,1,13,2017-05-28,0.65,1,363
18371593,Charming Apartment in Wien,127212572,Andrei,,Margareten,48.188331272551395,16.349234193383257,Entire home/apt,45,6,3,2017-08-16,0.99,1,249
5821888,charming apartment - great location,30216014,Michaela,,Margareten,48.192679282172044,16.357934398071798,Entire home/apt,100,3,42,2017-08-19,1.47,1,81
4657967,Spacious room in the heart of Vienna,23661381,Nicolas,,Margareten,48.189358330826444,16.349652272919062,Private room,31,3,16,2017-05-28,1.16,2,359
15749926,Heart of Vienna 3 bathrooms comfortable up-to-date,518644,Michael,,Margareten,48.194680017413624,16.360858273694145,Entire home/apt,177,1,2,2017-06-17,0.20,33,9
16423045,Stylish Roof Top Apartment with City View,107653837,Ilona,,Margareten,48.186222677993754,16.354365075101043,Entire home/apt,120,2,26,2017-08-13,3.61,1,69
19026711,Comfy flat for your stay in Vienna <3,1950075,Tamara,,Margareten,48.18127664104754,16.354321791123944,Entire home/apt,20,1,10,2017-08-20,4.92,1,0
